sro,serial,vcode,village_hi,note
sadar1,328,5283,मुण्डेरी खुर्द,comm: right-hand columns (category+rates) printed one row lower than serial/name rows on this page; mapped 1:1 in order (row 325 gets first value row) - verify
sadar1,329,4819,मुण्डेरी गढवा,comm: right-hand columns (category+rates) printed one row lower than serial/name rows on this page; mapped 1:1 in order (row 325 gets first value row) - verify
sadar1,330,5269,मुडियारी खुर्द,comm: right-hand columns (category+rates) printed one row lower than serial/name rows on this page; mapped 1:1 in order (row 325 gets first value row) - verify
sadar1,331,5270,मुडियारी बुजुर्ग,road: vcode partly under signature | comm: right-hand columns (category+rates) printed one row lower than serial/name rows on this page; mapped 1:1 in order (row 325 gets first value row) - verify
sadar1,332,5268,मोगलहा,comm: right-hand columns (category+rates) printed one row lower than serial/name rows on this page; mapped 1:1 in order (row 325 gets first value row) - verify | agri: vcode 5268 also printed for serial 326
sadar1,333,0125,राजेन्द्र नगर,comm: right-hand columns (category+rates) printed one row lower than serial/name rows on this page; mapped 1:1 in order (row 325 gets first value row) - verify | agri: all rate cells printed as dash
sadar1,334,0074,रमदत्तपुर,comm: right-hand columns (category+rates) printed one row lower than serial/name rows on this page; mapped 1:1 in order (row 325 gets first value row) - verify | agri: all rate cells printed as dash
sadar1,335,0077,रूस्तमपुर,"comm: right-hand columns (category+rates) printed one row lower than serial/name rows on this page; mapped 1:1 in order (row 325 gets first value row) - verify | agri: all rate cells printed as dash; vcode partly under signature, best reading 0077"
sadar1,336,0016,राप्तीनगर आंशिक,comm: right-hand columns (category+rates) printed one row lower than serial/name rows on this page; mapped 1:1 in order (row 325 gets first value row) - verify | agri: all rate cells printed as dash
sadar1,337,0065,रूद्रपुर,comm: right-hand columns (category+rates) printed one row lower than serial/name rows on this page; mapped 1:1 in order (row 325 gets first value row) - verify | agri: all rate cells printed as dash
sadar1,338,0096,रकाबगंज,comm: right-hand columns (category+rates) printed one row lower than serial/name rows on this page; mapped 1:1 in order (row 325 gets first value row) - verify | agri: all rate cells printed as dash
sadar1,339,0047,रहमत नगर,comm: right-hand columns (category+rates) printed one row lower than serial/name rows on this page; mapped 1:1 in order (row 325 gets first value row) - verify | agri: all rate cells printed as dash
sadar1,340,0022,रसूलपुर,comm: right-hand columns (category+rates) printed one row lower than serial/name rows on this page; mapped 1:1 in order (row 325 gets first value row) - verify
sadar1,341,0022,रसूलपुर आंशिक,comm: right-hand columns (category+rates) printed one row lower than serial/name rows on this page; mapped 1:1 in order (row 325 gets first value row) - verify
sadar1,342,0016,राप्तीनगर,comm: right-hand columns (category+rates) printed one row lower than serial/name rows on this page; mapped 1:1 in order (row 325 gets first value row) - verify | agri: all rate cells printed as dash
sadar1,343,0016,राप्तीनगर आंशिक,comm: right-hand columns (category+rates) printed one row lower than serial/name rows on this page; mapped 1:1 in order (row 325 gets first value row) - verify | agri: all rate cells printed as dash
sadar1,344,0020,रामपुर नयागॉव,comm: right-hand columns (category+rates) printed one row lower than serial/name rows on this page; mapped 1:1 in order (row 325 gets first value row) - verify
sadar1,345,0126,राजेन्द्र नगर लच्छीपुर,comm: right-hand columns (category+rates) printed one row lower than serial/name rows on this page; mapped 1:1 in order (row 325 gets first value row) - verify
sadar1,346,0153,राप्तीनगर प्रथम चरण,comm: right-hand columns (category+rates) printed one row lower than serial/name rows on this page; mapped 1:1 in order (row 325 gets first value row) - verify | agri: all rate cells printed as dash
sadar1,347,0152,राप्तीनगर द्वितीय चरण,agri: all rate cells printed as dash
sadar1,348,0151,राप्तीनगर तृतीय चरण,agri: all rate cells printed as dash
sadar1,349,0150,राप्तीनगर चतुर्थ चरण,agri: all rate cells printed as dash
sadar1,350,0154,राप्तीनगर विस्तार,comm: serial printed 360; sequence implies 350 | agri: all rate cells printed as dash
sadar1,351,0127,रेलविहार आवासीय योजना,agri: all rate cells printed as dash
sadar1,352,0173,रूस्तमपुर,road: vcode partly under signature | agri: all rate cells printed as dash
sadar1,355,4822,रायगंज,agri: vcode second digit partly under signature; read 4822
sadar1,363,0019,लक्ष्मीपुर,comm: नगरीय with rural-tier rates 16500/25000/22000; as printed
sadar1,365,0128,लोहिया नगर,agri: all rate cells printed as dash
sadar1,366,0142,ललितापुरम,agri: all rate cells printed as dash
sadar1,367,0144,ललितापुरम विस्तार,agri: all rate cells printed as dash
sadar1,373,5308,लालपुर टीकर,road: vcode first digit under signature
sadar1,374,0072,विन्द टोला,agri: all rate cells printed as dash
sadar1,375,0129,विष्णुपुरम,agri: vcode 3rd digit under signature: 0129 or 0139; all rate cells printed as dash
sadar1,376,0149,विकास नगर (लच्छीपुर),agri: all rate cells printed as dash
sadar1,377,0138,विकास नगर आवासीय योजना,agri: name truncated in print; all rate cells printed as dash
sadar1,378,0135,विकास नगर विस्तार,agri: rate cells blank (no dashes printed)
sadar1,379,0149,विकास नगर कालोनी,road: vcode 0149 printed same as serial 376 | agri: all rate cells printed as dash
sadar1,386,0147,शाहपुर आवास विकास कालोनी,agri: name truncated in print; all rate cells printed as dash
sadar1,387,0147,शाहपुर आ0 वि0 कालोनी,agri: all rate cells printed as dash
sadar1,389,0130,शताब्दीपुरम,agri: all rate cells printed as dash
sadar1,390,0131,शिवपुर कालोनी,agri: all rate cells printed as dash
sadar1,391,0055,शेषपुर,agri: all rate cells printed as dash
sadar1,392,0068,शाहपुर,agri: all rate cells printed as dash
sadar1,393,0032,शिवपुर सहबाजगंज,road: duplicate of serial 388 as printed
sadar1,394,0132,शक्तिनगर,road: vcode first digit under signature
sadar1,395,0139,शास्त्रीनगर आवासीय योजना,agri: vcode partly under signature; best reading 0139; all rate cells printed as dash
sadar1,396,0140,शास्त्रीपुरम आवासीय योजना,agri: all rate cells printed as dash
sadar1,397,0141,शास्त्रीपुरम विस्तार,agri: all rate cells printed as dash
sadar1,398,0147,शाहपुर,agri: all rate cells printed as dash
sadar1,400,0170,शास्त्रीनगर,"basic: vcode 0170 printed, same as serial 380 (विवेकानन्दनगर)"
sadar1,409,0133,सूर्यकुण्ड कालोनी,agri: all 16 cells printed as 0
sadar1,411,0134,संकटमोचन नगर,agri: all rate cells printed as dash
sadar1,412,0145,सूर्यविहार आवासीय योजना,agri: all rate cells printed as dash
sadar1,413,0148,सूरजकुण्ड,agri: all rate cells printed as dash
sadar1,414,4186,सेन्दुली बेन्दुली,agri: link_d 225 printed (> dist_d 215); identical row 315 on p142 has 210
sadar1,415,0172,सुबाष चन्द्र बोष नगर,road: vcode second digit hidden by signature stroke; read 0172 | agri: vcode last digits under signature; best reading 0172
sadar1,435,5351,सोनवे मुस्तकिल,agri: vcode last digit obscured by signature; read 5351 (sequence 5349/5350)
sadar1,436,5341,सुग्गाटारी,road: vcode first digit under signature
sadar1,440,0036,हुमायूपुर उत्तरी आंशिक,"agri: all rate cells printed as ""-"""
sadar1,441,0037,हुमायूपुर उत्तरी,"agri: all rate cells printed as ""-"""
sadar1,442,0084,हुमायूपुर दक्षिणी,"agri: all rate cells printed as ""-"""
sadar1,443,0103,हजारीपुर,"agri: all rate cells printed as ""-"""
sadar1,450,5368,हरिभंजन जंगल,agri: vcode partly under signature; read 5368
sadar2,7,5105,अमवा,agri: nh_a printed as dash (other अर्द्धनगरीय rows print 0)
sadar2,13,5111,अवई पाकड़,basic: duplicate vcode 5111 also printed for serial 19 (इन्जीनियरिंग कालेज)
sadar2,19,5111,इन्जीनियरिंग कालेज,basic: duplicate vcode 5111 also printed for serial 13 (अवई पाकड़) | road: V-code 5111 printed here and also for serial 13 (अवई पाकड़); verified on scan
sadar2,28,5164,उपधौली,road: 3-5 m band 6800 exceeds 5-9 m 1700 and 9-12 m 1800 (non-monotone); clearly printed 6800 on scan
sadar2,29,5162,उमरपुर,agri: nh_a printed as dash (other अर्द्धनगरीय rows print 0)
sadar2,59,0047,खुर्रमपुर,basic: vcode 0047 also printed for serial 157 | road: V-code 0047 as printed (seg table p60 uses 0047 for दिलेजाकपुर)
sadar2,66,002,गिरधरगंज,"basic: vcode printed as 3 digits (002) | road: V-code printed with 3 digits ""002"" (seg table uses 0003 for गिरधरगंज); kept as printed"
sadar2,83,0012,चकरा अव्वल,agri: नगरीय row with non-standard rates (560/476/196 set) - verified
sadar2,85,0037,चिलमापुर,agri: नगरीय row with non-standard rates (560/476/196 set) - verified
sadar2,91,5368,चकखान मोहम्मद,road: rent 70 (lowest in table) verified on zoom
sadar2,93,0059,जटेपुर दक्षिणी,basic: vcode 0059 also printed for serial 165
sadar2,96,0003,जंगल तुलसी राम पश्चिमी,basic: vcode 0003 also printed for serial 263
sadar2,98,0206,जी0डी0ए0 कार्पोरेट पार्क योजना,agri: all cells dash; other_d cell blank
sadar2,106,5471,जादोपुर,basic: vcode 5471 also printed for serial 134 | road: V-code 5471 also printed for serial 134 झरना टोला
sadar2,108,5451,जं0 हरपुर,road: V-code 5451 also printed for serial 101 जं0 छत्रधारी
sadar2,121,5480,जं0 डुमरी नं0-1,no row in road/agri table
sadar2,123,5481,जं0 जैनुल आबदीन उर्फ जैनपुर,road: 3-5 m band printed 1320 (others in class 1600); verified on zoom
sadar2,129,5467,जं0 रामगढ़ उर्फ रजही,road: 9-12 m band 1800 lower than 5-9 m 7000 (non-monotone); verified on zoom
sadar2,134,5471,झरना टोला,"basic: vcode 5471 printed, same as serial 106 (जादोपुर); urban rows otherwise use 00xx codes | road: V-code 5471 also printed for serial 106 जादोपुर"
sadar2,136,0083,ट्रांसपोर्टनगर,basic: vcode 0083 also printed for serial 168
sadar2,144,014,तुर्कमानपुर,"basic: vcode printed as 3 digits (014) | road: V-code printed with 3 digits ""014""; kept as printed"
sadar2,147,5669,ताल जमुआड़,road: 3-5 m figure partly broken in scan (reads 16?0); 1600 by stroke shape and row pattern
sadar2,157,0047,दिलेजाकपुर,"basic: vcode 0047 printed, same as serial 59 (खुर्रमपुर)"
sadar2,158,0031,दीवान दयाराम,road: vcode 0031 also on serial 340
sadar2,165,0059,धम्माल,"basic: vcode 0059 printed, same as serial 93 (जटेपुर दक्षिणी)"
sadar2,167,005,नौसढ़,basic: vcode printed as 3 digits (005) | road: vcode printed as 3 digits 005
sadar2,168,0083,न्यू ट्रांसपोर्टनगर,"basic: vcode 0083 printed, same as serial 136 (ट्रांसपोर्टनगर) | road: vcode 0083 also on serial 136"
sadar2,178,0057,पहाड़पुर,basic: vcode 0057 also printed for serial 200 | road: vcode 0057 also on serial 200
sadar2,196,5883,फुलवरिया तप्पा-पचवारा,road: rent 70 printed (other 1600-rate villages have 90)
sadar2,198,0044,बेतियाहाता,basic: vcode 0044 also printed for serial 201 | road: vcode 0044 also on serial 201
sadar2,200,0057,बक्शीपुर,basic: vcode 0057 also printed for serial 178 | road: vcode 0057 also on serial 178
sadar2,201,0044,बनकटीचक,basic: vcode 0044 also printed for serial 198 | road: vcode 0044 also on serial 198
sadar2,208,0406,बुद्ध बिहार आवासीय योजना (यशोधरा खण्ड),road: name cut off at cell edge in print | agri: name truncated in print
sadar2,260,0023,मियाँ बाजार - बैंक रोड से पूरब गोलघर की तरफ,basic: serial 260 split into 2 printed sub-rows (parent row मियाँ बाजार has no rate) | road: rent 90 printed on main row (sub-rows show 325); serial 260 has 3 printed rows
sadar2,260,0023,मियाँ बाजार - बैंक रोड से पश्चिम कोतवाली की तरफ,basic: serial 260 split into 2 printed sub-rows (parent row मियाँ बाजार has no rate) | road: sub-row of serial 260 (no own serial/vcode printed) | no row in agri table
sadar2,263,0003,महादेव झारखण्डी आवास विकास कालोनी,basic: vcode 0003 also printed for serial 96 | road: name cut off at cell edge in print
sadar2,265,0060,महादेव झारखण्डी टु0 नं0-3,basic: ward printed as टु0 नं0-2-08 (same as serial 264) for टु0 नं0-3 | road: serial printed as 235 (sequence implies 265)
sadar2,267,029,मुफ्तीपुर,basic: vcode printed as 3 digits (029) | road: vcode printed as 3 digits 029
sadar2,268,0010,महुईसुधरपुर,road: vcode printed as 3 digits 015
sadar2,273,042,मोहददीपुर,basic: vcode printed as 3 digits (042) | road: vcode printed as 3 digits 042 | agri: all rate cells printed as dash
sadar2,282,6003,मोहनपुर,road: same name as serial 293 (vcode 5004)
sadar2,293,5004,मोहनपुर,basic: vcode 5004 printed clearly; out of sequence with neighbouring 59xx-60xx codes (possible print error for 6004) | road: vcode 5004 printed (out of 59xx-60xx sequence; serial 282 is मोहनपुर 6004)
sadar2,303,0202,यशोधरा कुन्ज आवासीय योजना,agri: all rate cells printed as dash
sadar2,306,0030,रेती,agri: all rate cells printed as dash
sadar2,307,0017,रूस्तमपुर हाईवे के उत्तर,agri: all rate cells printed as dash
sadar2,308,0038,रूस्तमपुर हाईवे के दक्षिण,road: vcode 0038 also on serials 376-377 | agri: vcode 0038 also used for 376/377; all rate cells printed as dash
sadar2,309,0009,रायगंज दक्षिणी,agri: all rate cells printed as dash
sadar2,310,0043,रायगंज उत्तरी,basic: pargana/ward cell blank as printed | agri: all rate cells printed as dash
sadar2,311,0085,रेलवे डेयरी कालोनी,road: vcode cell merged with serial 312 | agri: all rate cells printed as dash
sadar2,312,0085,रेलवे बिछिया कालोनी,basic: vcode cell merged with serial 311 (0085 printed once); pargana/ward blank | road: vcode cell merged with serial 311 | agri: vcode cell blank (merged with 311 row printing 0085?); all rate cells printed as dash
sadar2,313,0093,रेलवे स्टेशन सौन्दर्यकरण योजना,agri: all rate cells printed as dash
sadar2,324,6079,रसूलपुर तप्पा खुटहन,road: vcode 6079 also on serial 332
sadar2,332,6079,रिठना,"basic: vcode 6079 also printed for serial 324 (रसूलपुर तप्पा खुटहन); as printed | road: vcode 6079 also on serial 324 | agri: vcode 6079 as printed, same as serial 324"
sadar2,333,0090,लेक ब्यू आवासीय योजना,agri: all rate cells printed as dash
sadar2,334,0091,लेक ब्यू विस्तार योजना,agri: all rate cells printed as dash
sadar2,335,0205,लोहिया इन्क्लेव योजना,agri: all rate cells printed as dash
sadar2,339,0058,शाहमारूफ,agri: all rate cells printed as dash
sadar2,340,0031,शेषपुर,road: unusual non-round rates 22550/23575 as printed; vcode 0031 also on serial 158 | agri: all rate cells printed as dash
sadar2,341,0071,सैनिक सहकारी आवास समिति,agri: all rate cells printed as dash
sadar2,342,0087,सिद्धार्थ इन्क्लेव फेज-2 आवासीय योजन,basic: name truncated at cell edge as printed (योजना) | road: name cut off at cell edge in print | agri: all rate cells printed as dash
sadar2,343,0088,सिद्धार्थपुरम आवासीय योजना,basic: pargana/ward blank as printed | agri: all rate cells printed as dash
sadar2,344,0089,सिद्धार्थपुरम आवासीय विस्तार योजना,basic: pargana/ward blank as printed | agri: all rate cells printed as dash
sadar2,345,0086,सिद्धार्थपुरम इन्क्लेव विस्तार,basic: pargana/ward blank as printed | agri: all rate cells printed as dash
sadar2,375,0074,सहारा स्टेट,basic: pargana/ward blank as printed | agri: all rate cells printed as dash
sadar2,376,0038,हँसूपुर मुस्तकिल,basic: vcode 0038 also printed for serial 308 (रूस्तमपुर हाईवे के दक्षिण); as printed | road: vcode 0038 also on serials 308/377 | agri: vcode 0038 shared with 308/377
sadar2,377,039,हँसूपुर एहतमाली,basic: vcode printed with 3 digits (039) | no row in road/agri table
sadar2,123,5482,जं0 डुमरी नं0-2,only found in the road table (V-code or name printed differently elsewhere)
sadar2,260,0023,मियाँ बाजार / बैंक रोड से पश्चिम कोतवाली की तरफ,road: sub-row of serial 260 (no own serial/vcode printed); last letter cut off in print | only found in the road table (V-code or name printed differently elsewhere)
sadar2,377,0038,हाँसूपुर एहतमाली,road: vcode 0038 also on serials 308/376 | only found in the road table (V-code or name printed differently elsewhere)
sadar2,123,5482,जं0 डुमरी नं0-2,only found in the agri table (V-code or name printed differently elsewhere)
sadar2,,,बैंक रोड से पूरब गोलघर की तर,agri: sub-row of serial 260 (no serial/vcode printed); name truncated in print | only found in the agri table (V-code or name printed differently elsewhere)
sadar2,,,बैंक रोड से पश्चिम कोतवाली की,agri: sub-row of serial 260 (no serial/vcode printed); name truncated in print | only found in the agri table (V-code or name printed differently elsewhere)
sadar2,377,0038,हॅंसूपुर एहतमाली नदी के तरफ,agri: vcode 0038 shared with 308/376 | only found in the agri table (V-code or name printed differently elsewhere)
sahjanwa,2,1002,अमौली,"agri: link_d 78 > link_c 57 as printed (systematic) | agri link_d printed 78, corrected to 38 per AIG Registration order 09.01.2017 printed in the list"
sahjanwa,3,1002,अमसार,"basic: vcode printed 1002 (duplicate of serial 2; index p12 gives 1003) | agri: link_d 78 > link_c 57 as printed (systematic) | agri link_d printed 78, corrected to 38 per AIG Registration order 09.01.2017 printed in the list"
sahjanwa,4,1004,अडिलापार,"agri: link_d 78 > link_c 57 as printed (systematic) | agri link_d printed 78, corrected to 38 per AIG Registration order 09.01.2017 printed in the list"
sahjanwa,5,1005,अचियापार,"agri: link_d 78 > link_c 57 as printed (systematic); link_a 260 (neighbours 250) as printed | agri link_d printed 78, corrected to 38 per AIG Registration order 09.01.2017 printed in the list"
sahjanwa,7,1007,ओदार,"agri: link_d 78 > link_c 57 as printed (systematic) | agri link_d printed 78, corrected to 38 per AIG Registration order 09.01.2017 printed in the list"
sahjanwa,10,1010,अलगटपुर,"agri: link_d 78 > link_c 57 as printed (systematic) | agri link_d printed 78, corrected to 38 per AIG Registration order 09.01.2017 printed in the list"
sahjanwa,11,1011,इमिलडीहा,"agri: link_d 78 > link_c 57 as printed (systematic) | agri link_d printed 78, corrected to 38 per AIG Registration order 09.01.2017 printed in the list"
sahjanwa,12,1012,इटार,"agri: link_d 78 > link_c 57 as printed (systematic) | agri link_d printed 78, corrected to 38 per AIG Registration order 09.01.2017 printed in the list"
sahjanwa,13,1013,इटौवा,"agri: link_d 78 > link_c 57 as printed (systematic) | agri link_d printed 78, corrected to 38 per AIG Registration order 09.01.2017 printed in the list"
sahjanwa,14,1014,इटवा,"agri: link_d 78 > link_c 57 as printed (systematic) | agri link_d printed 78, corrected to 38 per AIG Registration order 09.01.2017 printed in the list"
sahjanwa,15,1015,उसका,"agri: link_d 78 > link_c 57 as printed (systematic) | agri link_d printed 78, corrected to 38 per AIG Registration order 09.01.2017 printed in the list"
sahjanwa,17,1017,उज्जीखोर,"agri: link_d 78 > link_c 57 as printed (systematic) | agri link_d printed 78, corrected to 38 per AIG Registration order 09.01.2017 printed in the list"
sahjanwa,18,1018,एकडंगा,agri: nh_c 300 (vs 426 elsewhere) as printed
sahjanwa,19,1019,ककुआपार,"agri: link_d 78 > link_c 57 as printed (systematic) | agri link_d printed 78, corrected to 38 per AIG Registration order 09.01.2017 printed in the list"
sahjanwa,21,1021,कविसा,"agri: link_d 78 > link_c 57 as printed (systematic) | agri link_d printed 78, corrected to 38 per AIG Registration order 09.01.2017 printed in the list"
sahjanwa,22,1022,करमुआ,"agri: link_d 78 > link_c 57 as printed (systematic) | agri link_d printed 78, corrected to 38 per AIG Registration order 09.01.2017 printed in the list"
sahjanwa,23,1023,कररिया,"agri: link_d 78 > link_c 57 as printed (systematic) | agri link_d printed 78, corrected to 38 per AIG Registration order 09.01.2017 printed in the list"
sahjanwa,24,1024,कोठा,"agri: link_d 78 > link_c 57 as printed (systematic) | agri link_d printed 78, corrected to 38 per AIG Registration order 09.01.2017 printed in the list"
sahjanwa,25,1025,कोठामाफी,"agri: link_d 78 > link_c 57 as printed (systematic) | agri link_d printed 78, corrected to 38 per AIG Registration order 09.01.2017 printed in the list"
sahjanwa,26,1026,कोमा,"agri: link_d 78 > link_c 57 as printed (systematic) | agri link_d printed 78, corrected to 38 per AIG Registration order 09.01.2017 printed in the list"
sahjanwa,27,1027,कोटिया,"agri: link_d 78 > link_c 57 as printed (systematic) | agri link_d printed 78, corrected to 38 per AIG Registration order 09.01.2017 printed in the list"
sahjanwa,30,1030,कोहारभार,"agri: link_d 78 > link_c 57 as printed (systematic) | agri link_d printed 78, corrected to 38 per AIG Registration order 09.01.2017 printed in the list"
sahjanwa,32,1032,कोड़रा,"agri: link_d 78 > link_c 57 as printed (systematic) | agri link_d printed 78, corrected to 38 per AIG Registration order 09.01.2017 printed in the list"
sahjanwa,33,1033,कोडरी खुर्द,"agri: link_d 78 > link_c 57 as printed (systematic) | agri link_d printed 78, corrected to 38 per AIG Registration order 09.01.2017 printed in the list"
sahjanwa,34,1034,कोडरीकला,"agri: link_d 78 > link_c 57 as printed (systematic) | agri link_d printed 78, corrected to 38 per AIG Registration order 09.01.2017 printed in the list"
sahjanwa,35,1035,कोदरी,agri: other_d 31 with other_c 69 as printed
sahjanwa,37,1037,कोल्हुई रेट,"agri: link_d 78 > link_c 57 as printed (systematic) | agri link_d printed 78, corrected to 38 per AIG Registration order 09.01.2017 printed in the list"
sahjanwa,38,1038,कोल्हुई,"agri: link_d 78 > link_c 57 as printed (systematic) | agri link_d printed 78, corrected to 38 per AIG Registration order 09.01.2017 printed in the list"
sahjanwa,39,1039,कॉट,"agri: link_d 78 > link_c 57 as printed (systematic) | agri link_d printed 78, corrected to 38 per AIG Registration order 09.01.2017 printed in the list"
